1.000e+00	0.100	5
1.000e+00	0.200	5
1.000e+00	0.300	5
1.000e+00	0.400	5
1.000e+00	0.500	5
1.000e+00	0.600	5
1.000e+00	0.700	5
1.000e+00	0.800	5
1.000e+00	0.900	5
9.995e-01	1.000	5
9.991e-01	1.100	5
9.972e-01	1.200	5
9.953e-01	1.300	5
9.917e-01	1.400	5
9.868e-01	1.500	5
9.793e-01	1.600	5
9.702e-01	1.700	5
9.567e-01	1.800	5
9.365e-01	1.900	5
9.189e-01	2.000	5
8.914e-01	2.100	5
8.456e-01	2.200	5
8.160e-01	2.300	5
7.686e-01	2.400	5
7.176e-01	2.500	5
6.777e-01	2.600	5
6.378e-01	2.700	5
5.957e-01	2.800	5
5.527e-01	2.900	5
5.265e-01	3.000	5
4.878e-01	3.100	5
4.586e-01	3.200	5
4.478e-01	3.300	5
4.179e-01	3.400	5
3.916e-01	3.500	5
3.827e-01	3.600	5
3.703e-01	3.700	5
3.518e-01	3.800	5
3.483e-01	3.900	5
3.395e-01	4.000	5
3.305e-01	4.100	5
3.289e-01	4.200	5
3.139e-01	4.300	5
3.126e-01	4.400	5
3.023e-01	4.500	5
2.957e-01	4.600	5
2.875e-01	4.700	5
2.901e-01	4.800	5
2.825e-01	4.900	5
2.794e-01	5.000	5
2.761e-01	5.100	5
2.658e-01	5.200	5
2.615e-01	5.300	5
2.625e-01	5.400	5
2.631e-01	5.500	5
2.567e-01	5.600	5
2.463e-01	5.700	5
2.521e-01	5.800	5
2.508e-01	5.900	5
2.430e-01	6.000	5
2.444e-01	6.100	5
2.427e-01	6.200	5
2.359e-01	6.300	5
2.335e-01	6.400	5
2.375e-01	6.500	5
2.346e-01	6.600	5
2.324e-01	6.700	5
2.274e-01	6.800	5
2.312e-01	6.900	5
2.311e-01	7.000	5
2.240e-01	7.100	5
2.300e-01	7.200	5
2.221e-01	7.300	5
2.275e-01	7.400	5
2.198e-01	7.500	5
2.147e-01	7.600	5
2.203e-01	7.700	5
2.164e-01	7.800	5
2.189e-01	7.900	5
2.240e-01	8.000	5
2.115e-01	8.100	5
2.188e-01	8.200	5
2.123e-01	8.300	5
2.124e-01	8.400	5
2.147e-01	8.500	5
2.078e-01	8.600	5
2.143e-01	8.700	5
2.082e-01	8.800	5
2.096e-01	8.900	5
2.070e-01	9.000	5
2.051e-01	9.100	5
2.086e-01	9.200	5
1.995e-01	9.300	5
2.027e-01	9.400	5
2.114e-01	9.500	5
2.066e-01	9.600	5
2.046e-01	9.700	5
2.077e-01	9.800	5
2.064e-01	9.900	5
2.008e-01	10.000	5
